Date,Open,High,Low,Close,Adj Close,Volume
2016-03-01,50.970001,52.590000,50.919998,52.580002,50.670616,33024500
2016-03-02,52.410000,52.959999,52.160000,52.950001,51.027176,29289900
2016-03-03,52.970001,52.970001,51.779999,52.349998,50.448967,24418100
2016-03-04,52.400002,52.450001,51.709999,52.029999,50.140583,33034200
2016-03-07,51.560001,51.799999,50.580002,51.029999,49.176895,38407800
2016-03-08,50.799999,52.130001,50.599998,51.650002,49.774391,33835100
2016-03-09,51.889999,52.849998,51.860001,52.840000,50.921169,28251600
2016-03-10,52.930000,52.939999,51.160000,52.049999,50.159859,38384200
2016-03-11,53.000000,53.070000,52.380001,53.070000,51.142818,32275700
2016-03-14,52.709999,53.590000,52.630001,53.169998,51.239185,24083600
2016-03-15,52.750000,53.590000,52.740002,53.590000,51.643936,21104800
2016-03-16,53.450001,54.599998,53.400002,54.349998,52.376339,31691700
2016-03-17,54.209999,55.000000,54.000000,54.660000,52.675079,28223900
2016-03-18,54.919998,54.970001,53.450001,53.490002,51.547573,67625500
2016-03-21,53.250000,53.930000,52.930000,53.860001,51.904137,23925700
2016-03-22,53.610001,54.250000,53.459999,54.070000,52.106506,23124100
2016-03-23,54.110001,54.240002,53.740002,53.970001,52.010139,20129000
2016-03-24,53.840000,54.330002,53.730000,54.209999,52.241425,19950000
2016-03-28,54.209999,54.290001,53.330002,53.540001,51.595753,17025100
2016-03-29,53.660000,54.860001,53.450001,54.709999,52.723263,23375000
2016-03-30,54.930000,55.639999,54.900002,55.049999,53.050919,23008300
2016-03-31,54.950001,55.590000,54.860001,55.230000,53.224377,26360500
2016-04-01,55.049999,55.610001,54.570000,55.570000,53.552036,24399200
2016-04-04,55.430000,55.660000,55.000000,55.430000,53.417118,18928800
2016-04-05,55.189999,55.299999,54.459999,54.560001,52.578712,19272300
2016-04-06,54.360001,55.200001,54.209999,55.119999,53.118370,21032100
2016-04-07,54.869999,54.910000,54.230000,54.459999,52.482342,19225100
2016-04-08,54.669998,55.279999,54.320000,54.419998,52.443787,22167200
2016-04-11,54.490002,55.150002,54.299999,54.310001,52.337795,21414200
2016-04-12,54.369999,54.779999,53.759998,54.650002,52.665443,24574200
2016-04-13,55.119999,55.439999,54.889999,55.349998,53.340027,20818000
2016-04-14,55.220001,55.580002,55.070000,55.360001,53.349663,20875100
2016-04-15,55.299999,55.919998,55.110001,55.650002,53.629135,28793800
2016-04-18,55.490002,56.590000,55.209999,56.459999,54.409718,23150300
2016-04-19,56.630001,56.770000,55.680000,56.389999,54.342258,29596800
2016-04-20,56.290001,56.500000,55.490002,55.590000,53.571312,36195700
2016-04-21,55.799999,56.230000,55.419998,55.779999,53.754406,38909100
2016-04-22,51.910000,52.430000,50.770000,51.779999,49.899666,126834100
2016-04-25,51.779999,52.130001,51.630001,52.110001,50.217686,33226900
2016-04-26,52.259998,52.349998,51.090000,51.439999,49.572006,33532600
2016-04-27,51.480000,51.500000,50.549999,50.939999,49.090164,43369300
2016-04-28,50.619999,50.770000,49.560001,49.900002,48.087933,43134800
2016-04-29,49.349998,50.250000,49.349998,49.869999,48.059025,48411700
2016-05-02,50.000000,50.750000,49.779999,50.610001,48.772156,33114500
2016-05-03,50.340000,50.410000,49.599998,49.779999,47.972294,26460200
2016-05-04,49.840000,50.060001,49.459999,49.869999,48.059025,24257600
2016-05-05,49.869999,50.299999,49.730000,49.939999,48.126480,25390700
2016-05-06,49.919998,50.389999,49.660000,50.389999,48.560143,24787300
2016-05-09,50.490002,50.590000,50.000000,50.070000,48.251762,17951600
2016-05-10,50.330002,51.099998,50.189999,51.020000,49.167263,22741500
2016-05-11,51.130001,51.779999,51.000000,51.049999,49.196171,24039100
2016-05-12,51.200001,51.810001,50.919998,51.509998,49.639469,24102800
2016-05-13,51.439999,51.900002,51.040001,51.080002,49.225090,22592300
2016-05-16,50.799999,51.959999,50.750000,51.830002,49.947849,20032000
2016-05-17,51.720001,51.730000,50.360001,50.509998,49.016239,27803500
2016-05-18,50.480000,51.139999,50.299999,50.810001,49.307365,24907500
2016-05-19,50.470001,50.619999,49.820000,50.320000,48.831860,23842400
2016-05-20,50.480000,51.220001,50.400002,50.619999,49.122993,23905800
2016-05-23,50.599998,50.680000,49.980000,50.029999,48.550438,25999700
2016-05-24,50.700001,51.709999,50.400002,51.590000,50.064304,34757900
2016-05-25,51.919998,52.490002,51.790001,52.119999,50.578625,24040200
2016-05-26,51.930000,51.980000,51.360001,51.889999,50.355423,24182900
2016-05-27,51.919998,52.320000,51.770000,52.320000,50.772713,17721400
2016-05-31,52.259998,53.000000,52.080002,53.000000,51.432602,37653100
2016-06-01,52.439999,52.950001,52.439999,52.849998,51.287037,25324800
2016-06-02,52.639999,52.740002,51.840000,52.480000,50.927979,22565300
2016-06-03,52.380001,52.419998,51.599998,51.790001,50.258389,23368300
2016-06-06,51.990002,52.349998,51.889999,52.130001,50.588333,18243300
2016-06-07,52.240002,52.730000,52.099998,52.099998,50.559216,20866800
2016-06-08,52.020000,52.439999,51.869999,52.040001,50.500992,21149400
2016-06-09,52.000000,52.000000,51.490002,51.619999,50.093410,20305700
2016-06-10,51.049999,52.049999,51.040001,51.480000,49.957554,25833200
2016-06-13,49.580002,50.720001,49.060001,50.139999,48.657181,83217800
2016-06-14,49.900002,50.099998,49.570000,49.830002,48.356350,42577100
2016-06-15,49.779999,50.119999,49.689999,49.689999,48.220490,33757600
